epoch -- step -- recon_loss -- kl_loss -- kl_weight  bounce_test1 bounce_test2 num_maxes max_factor min_factor window_len kl_jump_ratio max_log_var min_log_var max_grad_norm
0 -- 0 -- 1155.3066 -- 1.8395e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.8395e-01 -9.9572e-01 -1.0042e+00 5.0000e+00
0 -- 1 -- 1133.1948 -- 1.8042e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.8083e-01 -9.8162e-01 -9.9784e-01 5.0000e+00
0 -- 2 -- 1093.2975 -- 1.3918e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 7.7143e-01 -7.3356e-01 -9.0611e-01 5.0000e+00
0 -- 3 -- 1353.8263 -- 1.8249e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 1.3111e+01 1.9381e+00 1.0072e-01 5.0000e+00
0 -- 4 -- 968.1094 -- 1.1941e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 6.5433e-02 -6.8179e-02 -7.5451e-01 5.0000e+00
0 -- 5 -- 855.7330 -- 1.8261e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.5293e+00 6.5543e-01 -6.7390e-01 5.0000e+00
0 -- 6 -- 1067.7906 -- 1.8231e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 9.9837e+00 3.5454e+00 -4.3105e-01 5.0000e+00
0 -- 7 -- 953.9407 -- 1.5517e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 8.5115e-01 2.6664e+00 -5.4943e-01 5.0000e+00
0 -- 8 -- 833.1548 -- 3.4540e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 2.2259e-01 6.2539e-01 -8.6367e-01 5.0000e+00
0 -- 9 -- 988.1350 -- 1.6881e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 4.8872e-01 -8.4151e-01 -1.0329e+00 5.0000e+00
0 -- 10 -- 953.6704 -- 1.4532e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 8.6086e-01 -6.8961e-01 -9.7839e-01 5.0000e+00
0 -- 11 -- 905.6189 -- 1.2538e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 8.6278e-01 -2.3730e-01 -9.6868e-01 5.0000e+00
0 -- 12 -- 904.0779 -- 1.9221e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.5330e+00 5.0409e-01 -9.4264e-01 5.0000e+00
0 -- 13 -- 833.7041 -- 1.7925e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.3260e-01 6.5593e-01 -9.5220e-01 5.0000e+00
0 -- 14 -- 824.4563 -- 1.0681e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 5.9585e-01 2.6010e-01 -1.0979e+00 5.0000e+00
0 -- 15 -- 806.1029 -- 1.3096e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.2262e+00 3.7716e-01 -9.9333e-01 5.0000e+00
0 -- 16 -- 814.2853 -- 1.1957e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.1299e-01 1.5872e-01 -9.9805e-01 5.0000e+00
0 -- 17 -- 807.0603 -- 1.2392e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0364e+00 -2.3169e-01 -9.8589e-01 5.0000e+00
0 -- 18 -- 798.5282 -- 1.3041e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0524e+00 -2.7214e-02 -1.0302e+00 5.0000e+00
0 -- 19 -- 798.3865 -- 1.6046e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.2304e+00 3.9833e-01 -9.5294e-01 5.0000e+00
0 -- 20 -- 800.2729 -- 1.5478e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.6462e-01 4.5636e-01 -1.0124e+00 5.0000e+00
0 -- 21 -- 799.5455 -- 1.3608e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 8.7918e-01 1.5477e-01 -1.1713e+00 5.0000e+00
0 -- 22 -- 785.1849 -- 1.5143e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.1128e+00 3.3139e-01 -1.3196e+00 5.0000e+00
0 -- 23 -- 769.8268 -- 2.3255e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.5357e+00 9.1391e-01 -1.5432e+00 5.0000e+00
0 -- 24 -- 788.9104 -- 2.6954e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.1590e+00 1.1406e+00 -1.6987e+00 5.0000e+00
0 -- 25 -- 764.1351 -- 2.1674e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 8.0409e-01 1.2445e+00 -1.7938e+00 5.0000e+00
0 -- 26 -- 762.5154 -- 1.6182e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 7.4663e-01 8.8946e-01 -1.6804e+00 5.0000e+00
0 -- 27 -- 731.9074 -- 1.7678e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0924e+00 1.3130e+00 -1.8248e+00 5.0000e+00
0 -- 28 -- 712.1765 -- 2.2300e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.2615e+00 1.7883e+00 -1.9969e+00 5.0000e+00
0 -- 29 -- 741.2433 -- 3.0482e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.3669e+00 1.2552e+00 -2.1359e+00 5.0000e+00
0 -- 30 -- 746.4231 -- 3.8612e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.2667e+00 1.8348e+00 -2.4608e+00 5.0000e+00
0 -- 31 -- 777.3966 -- 4.6802e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.2121e+00 3.2404e+00 -2.6379e+00 5.0000e+00
0 -- 32 -- 796.2211 -- 5.2207e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.1155e+00 3.6144e+00 -2.6492e+00 5.0000e+00
1 -- 0 -- 728.8920 -- 4.9633e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.5071e-01 2.9064e+00 -3.4396e+00 5.0000e+00
1 -- 1 -- 795.8010 -- 6.8834e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.3869e+00 1.3852e+00 -3.8687e+00 5.0000e+00
1 -- 2 -- 839.4000 -- 7.2952e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0598e+00 7.8159e-01 -4.0372e+00 5.0000e+00
1 -- 3 -- 772.8717 -- 6.0191e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 8.2508e-01 9.7716e-01 -4.1922e+00 5.0000e+00
1 -- 4 -- 689.3915 -- 4.0878e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 6.7913e-01 1.6086e+00 -3.3020e+00 5.0000e+00
1 -- 5 -- 720.9221 -- 3.8209e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.3472e-01 2.7109e+00 -2.9963e+00 5.0000e+00
1 -- 6 -- 736.0486 -- 3.8886e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0177e+00 2.9621e+00 -2.9822e+00 5.0000e+00
1 -- 7 -- 671.2981 -- 3.1808e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 8.1798e-01 2.2079e+00 -2.5970e+00 5.0000e+00
1 -- 8 -- 708.2607 -- 3.1159e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.7960e-01 8.6040e-01 -2.8260e+00 5.0000e+00
1 -- 9 -- 697.9864 -- 3.1447e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0093e+00 7.2823e-01 -2.7315e+00 5.0000e+00
1 -- 10 -- 642.0370 -- 2.9662e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.4325e-01 1.2104e+00 -2.7967e+00 5.0000e+00
1 -- 11 -- 746.2791 -- 3.7479e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.2635e+00 2.0694e+00 -3.2792e+00 5.0000e+00
1 -- 12 -- 826.9724 -- 4.6561e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.2423e+00 2.0620e+00 -3.5227e+00 5.0000e+00
1 -- 13 -- 869.2128 -- 6.5325e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.4030e+00 1.6561e+00 -4.1920e+00 5.0000e+00
1 -- 14 -- 888.4360 -- 7.2012e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.1024e+00 1.3181e+00 -3.9667e+00 5.0000e+00
1 -- 15 -- 766.5447 -- 5.9607e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 8.2774e-01 1.5830e+00 -3.5994e+00 5.0000e+00
1 -- 16 -- 694.0643 -- 3.9489e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 6.6249e-01 1.5371e+00 -2.9498e+00 5.0000e+00
1 -- 17 -- 644.1777 -- 3.3173e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 8.4006e-01 1.5286e+00 -2.6537e+00 5.0000e+00
1 -- 18 -- 635.5015 -- 3.0264e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.1230e-01 1.1615e+00 -2.3607e+00 5.0000e+00
1 -- 19 -- 646.2677 -- 3.0134e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.9570e-01 1.1167e+00 -2.3343e+00 5.0000e+00
1 -- 20 -- 663.1882 -- 3.0779e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0214e+00 1.6497e+00 -2.6774e+00 5.0000e+00
1 -- 21 -- 656.8885 -- 2.9524e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.5923e-01 1.5753e+00 -2.6335e+00 5.0000e+00
1 -- 22 -- 633.7986 -- 2.6920e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.1178e-01 1.3832e+00 -2.5141e+00 5.0000e+00
1 -- 23 -- 620.3019 -- 3.0086e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.1176e+00 1.1088e+00 -2.3090e+00 5.0000e+00
1 -- 24 -- 612.1472 -- 3.4747e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.1549e+00 1.6673e+00 -2.6001e+00 5.0000e+00
1 -- 25 -- 614.5037 -- 3.5857e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0319e+00 1.6149e+00 -2.5435e+00 5.0000e+00
