epoch -- step -- recon_loss -- kl_loss -- kl_weight  bounce_test1 bounce_test2 num_maxes max_factor min_factor window_len kl_jump_ratio max_log_var min_log_var max_grad_norm
0 -- 0 -- 1165.1384 -- 1.8396e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.8396e-01 -9.8571e-01 -1.0119e+00 5.0000e+00
0 -- 1 -- 1148.7770 -- 1.7921e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 9.7421e-01 -9.6689e-01 -9.9952e-01 5.0000e+00
0 -- 2 -- 1150.8777 -- 1.6884e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 9.4212e-01 -9.1227e-01 -9.8605e-01 5.0000e+00
0 -- 3 -- 1147.9277 -- 1.4918e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 8.8357e-01 -8.1493e-01 -9.5449e-01 5.0000e+00
0 -- 4 -- 1150.2301 -- 1.1894e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 7.9727e-01 -6.4259e-01 -9.1369e-01 5.0000e+00
0 -- 5 -- 1139.4922 -- 7.7290e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 6.4983e-01 -4.0195e-01 -8.4399e-01 5.0000e+00
0 -- 6 -- 1140.2798 -- 3.1054e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 4.0179e-01 1.2881e-02 -6.9160e-01 5.0000e+00
0 -- 7 -- 1136.3777 -- 7.6136e-03 -- 1.0000e+03  False False 0 1000.0 1000.0 1 2.4517e-01 5.0372e-01 -6.1639e-01 5.0000e+00
0 -- 8 -- 1134.5916 -- 6.4198e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 8.4321e+00 1.0090e+00 -3.4278e-01 5.0000e+00
0 -- 9 -- 1119.0907 -- 1.0990e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.7119e+00 1.1643e+00 -1.9838e-01 5.0000e+00
0 -- 10 -- 1125.5618 -- 1.0737e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1 9.7692e-01 1.0833e+00 -6.6311e-01 5.0000e+00
0 -- 11 -- 1120.6416 -- 5.9927e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 5.5815e-01 9.2634e-01 -6.9620e-01 5.0000e+00
0 -- 12 -- 1112.2883 -- 2.0171e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 3.3660e-01 6.8858e-01 -3.6797e-01 5.0000e+00
0 -- 13 -- 1107.2494 -- 6.2024e-03 -- 1.0000e+03  False False 0 1000.0 1000.0 1 3.0749e-01 3.8424e-01 -5.4614e-01 5.0000e+00
0 -- 14 -- 1110.1250 -- 1.1739e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.8926e+00 1.5677e-01 -6.0418e-01 5.0000e+00
0 -- 15 -- 1109.4065 -- 1.9958e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.7002e+00 5.4334e-02 -7.2338e-01 5.0000e+00
0 -- 16 -- 1096.2657 -- 2.4161e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 1.2106e+00 1.6433e-02 -6.3541e-01 5.0000e+00
0 -- 17 -- 1083.4082 -- 2.3590e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1 9.7634e-01 2.0720e-02 -6.3043e-01 5.0000e+00
