epoch -- step -- recon_loss -- kl_loss -- kl_weight  bounce_test1 bounce_test2 num_maxes max_factor min_factor window_len
1 -- 24 -- 627.3680 -- 3.2905e-01 -- 1.6777e+01  False True 0 33.554432 4.194304 20
1 -- 25 -- 613.2679 -- 3.5001e-01 -- 3.3554e+01  False True 0 33.554432 4.194304 20
1 -- 26 -- 614.4240 -- 4.0638e-01 -- 1.6777e+01  False True 0 33.554432 4.194304 20
1 -- 27 -- 610.9727 -- 3.2155e-01 -- 3.3554e+01  False True 0 33.554432 4.194304 20
1 -- 28 -- 655.0157 -- 2.1277e-01 -- 1.6777e+01  False True 0 33.554432 8.388608 20
1 -- 29 -- 675.8787 -- 2.0079e-01 -- 8.3886e+00  False True 0 33.554432 8.388608 20
1 -- 30 -- 620.1521 -- 2.3146e-01 -- 1.6777e+01  False True 0 33.554432 8.388608 20
1 -- 31 -- 629.7670 -- 4.0638e-01 -- 8.3886e+00  False True 0 33.554432 8.388608 20
1 -- 32 -- 665.1573 -- 5.2538e-01 -- 4.1943e+00  False True 0 33.554432 4.194304 20
2 -- 0 -- 621.0917 -- 4.7338e-01 -- 8.3886e+00  False True 0 33.554432 4.194304 20
2 -- 1 -- 635.7483 -- 3.1819e-01 -- 4.1943e+00  False True 0 33.554432 4.194304 20
2 -- 2 -- 647.0228 -- 2.9352e-01 -- 2.0972e+00  False True 0 33.554432 2.097152 20
2 -- 3 -- 610.0791 -- 3.1263e-01 -- 4.1943e+00  False True 0 33.554432 2.097152 20
2 -- 4 -- 620.0184 -- 4.6754e-01 -- 2.0972e+00  False True 0 33.554432 2.097152 20
2 -- 5 -- 653.6552 -- 5.5430e-01 -- 1.0486e+00  False True 0 33.554432 1.048576 20
2 -- 6 -- 608.2591 -- 4.7590e-01 -- 2.0972e+00  False True 0 33.554432 1.048576 20
2 -- 7 -- 600.8812 -- 3.4096e-01 -- 4.1943e+00  False True 0 33.554432 1.048576 20
2 -- 8 -- 608.9119 -- 3.5849e-01 -- 2.0972e+00  False True 0 33.554432 1.048576 20
2 -- 9 -- 601.7670 -- 4.4345e-01 -- 4.1943e+00  False True 0 33.554432 1.048576 20
2 -- 10 -- 625.0659 -- 5.2930e-01 -- 2.0972e+00  False True 0 33.554432 1.048576 20
2 -- 11 -- 652.5492 -- 5.1630e-01 -- 1.0486e+00  False True 0 33.554432 1.048576 20
2 -- 12 -- 625.6342 -- 4.3147e-01 -- 2.0972e+00  False True 0 33.554432 1.048576 20
2 -- 13 -- 630.8961 -- 3.5229e-01 -- 1.0486e+00  False True 0 33.554432 1.048576 20
2 -- 14 -- 604.5559 -- 3.9739e-01 -- 2.0972e+00  False True 0 16.777216 1.048576 20
2 -- 15 -- 594.2163 -- 5.6103e-01 -- 4.1943e+00  False True 0 16.777216 1.048576 20
2 -- 16 -- 628.1580 -- 7.7078e-01 -- 2.0972e+00  False True 0 16.777216 1.048576 20
2 -- 17 -- 644.6645 -- 8.1676e-01 -- 1.0486e+00  False True 0 8.388608 1.048576 20
2 -- 18 -- 604.4692 -- 7.0921e-01 -- 2.0972e+00  False True 0 8.388608 1.048576 20
2 -- 19 -- 591.6019 -- 5.4541e-01 -- 4.1943e+00  False True 0 8.388608 1.048576 20
2 -- 20 -- 608.0613 -- 5.2580e-01 -- 2.0972e+00  False True 0 4.194304 1.048576 20
2 -- 21 -- 591.2197 -- 5.7545e-01 -- 4.1943e+00  False True 0 4.194304 1.048576 20
2 -- 22 -- 605.7610 -- 7.7350e-01 -- 2.0972e+00  False True 0 4.194304 1.048576 20
2 -- 23 -- 631.1736 -- 8.7440e-01 -- 1.0486e+00  False True 0 4.194304 1.048576 20
2 -- 24 -- 608.3301 -- 7.9827e-01 -- 2.0972e+00  False True 0 4.194304 1.048576 20
2 -- 25 -- 592.8766 -- 6.4405e-01 -- 4.1943e+00  False True 0 4.194304 1.048576 20
2 -- 26 -- 604.8617 -- 6.0174e-01 -- 2.0972e+00  False True 0 4.194304 1.048576 20
2 -- 27 -- 581.2798 -- 6.3487e-01 -- 4.1943e+00  False True 0 4.194304 1.048576 20
2 -- 28 -- 585.6708 -- 7.1853e-01 -- 2.0972e+00  False True 0 4.194304 1.048576 20
2 -- 29 -- 593.7088 -- 7.7562e-01 -- 1.0486e+00  False True 0 4.194304 1.048576 20
2 -- 30 -- 571.1291 -- 6.9102e-01 -- 2.0972e+00  False True 0 4.194304 1.048576 20
