epoch -- step -- recon_loss -- kl_loss -- kl_weight  bounce_test1 bounce_test2 num_maxes max_factor min_factor window_len kl_jump_ratio max_log_var min_log_var max_grad_norm
0 -- 0 -- 1152.7574 -- 1.8391e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.8391e-01 -9.9435e-01 -1.0055e+00 5.0000e+00
0 -- 1 -- 1126.9564 -- 1.8611e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.0120e+00 -1.0006e+00 -1.0146e+00 5.0000e+00
0 -- 2 -- 1100.3252 -- 1.8134e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 9.7437e-01 -9.8219e-01 -9.9913e-01 5.0000e+00
0 -- 3 -- 945.5238 -- 2.1688e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.1960e+00 -4.3422e-01 -8.4183e-01 5.0000e+00
0 -- 4 -- 1040.6198 -- 2.5974e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 1.1976e+01 2.3534e+00 -9.8424e-01 5.0000e+00
0 -- 5 -- 925.3570 -- 4.0659e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.5654e-01 -1.1459e-01 -1.4829e+00 5.0000e+00
0 -- 6 -- 837.7211 -- 8.6791e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 2.1346e+00 9.9086e-01 -2.1327e+00 5.0000e+00
0 -- 7 -- 909.2397 -- 2.2571e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 2.6006e+00 2.9373e+00 -3.2782e+00 5.0000e+00
0 -- 8 -- 853.1003 -- 1.3651e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 6.0479e-01 2.4728e+00 -3.0063e+00 5.0000e+00
0 -- 9 -- 819.8711 -- 3.0024e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 2.1995e-01 4.7517e-01 -1.7762e+00 5.0000e+00
0 -- 10 -- 818.8449 -- 3.6295e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.2089e+00 8.5346e-01 -2.1317e+00 5.0000e+00
0 -- 11 -- 811.9791 -- 8.1627e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 2.2490e+00 2.4281e+00 -3.2307e+00 5.0000e+00
0 -- 12 -- 795.3994 -- 7.8180e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 9.5776e-01 2.7685e+00 -3.3157e+00 5.0000e+00
0 -- 13 -- 779.5740 -- 4.1946e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 5.3653e-01 1.5863e+00 -2.7415e+00 5.0000e+00
0 -- 14 -- 786.6842 -- 4.7373e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.1294e+00 1.8047e+00 -3.0227e+00 5.0000e+00
