epoch -- step -- recon_loss -- kl_loss -- kl_weight  bounce_test1 bounce_test2 num_maxes max_factor min_factor window_len
0 -- 0 -- 1165.1384 -- 1.8396e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 1 -- 1148.7710 -- 1.7999e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 2 -- 1150.8479 -- 1.7281e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 3 -- 1147.8199 -- 1.5901e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 4 -- 1149.9935 -- 1.3714e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 5 -- 1139.1069 -- 1.0504e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 6 -- 1139.8416 -- 6.3908e-02 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 7 -- 1136.0806 -- 2.5009e-02 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 8 -- 1133.4762 -- 3.3007e-02 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 9 -- 1113.4561 -- 1.3771e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 10 -- 1116.2150 -- 1.2927e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 11 -- 1105.1017 -- 9.4316e-02 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 12 -- 1085.7581 -- 9.1405e-02 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 13 -- 1061.8833 -- 1.2137e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 14 -- 1036.7939 -- 1.8435e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 15 -- 995.6940 -- 3.1038e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 16 -- 951.9346 -- 5.1349e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 17 -- 929.6074 -- 5.6920e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 18 -- 919.4566 -- 4.6959e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 19 -- 896.0224 -- 3.3837e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 20 -- 898.3752 -- 2.4486e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 21 -- 888.0119 -- 2.1168e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 22 -- 869.9024 -- 2.1689e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 23 -- 845.3758 -- 2.4707e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 24 -- 838.4925 -- 2.6923e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 25 -- 821.8621 -- 2.4627e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 26 -- 814.4708 -- 1.9621e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 27 -- 811.7556 -- 1.5872e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 28 -- 809.8995 -- 1.4909e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 29 -- 794.0024 -- 1.5726e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 30 -- 787.0912 -- 1.5600e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 31 -- 787.1471 -- 1.2865e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
0 -- 32 -- 788.9156 -- 1.0285e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
1 -- 0 -- 785.5984 -- 1.0081e-01 -- 1.0000e+02  False False 0 100.0 100.0 1
