epoch -- step -- recon_loss -- kl_loss -- kl_weight  bounce_test1 bounce_test2 num_maxes max_factor min_factor window_len kl_jump_ratio max_log_var min_log_var max_grad_norm
0 -- 0 -- 1165.1384 -- 1.8396e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.8396e-01 -9.8571e-01 -1.0119e+00 5.0000e+00
0 -- 1 -- 1148.7622 -- 1.8238e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.9144e-01 -9.7993e-01 -1.0065e+00 5.0000e+00
0 -- 2 -- 1150.8489 -- 1.7995e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.8668e-01 -9.6750e-01 -1.0010e+00 5.0000e+00
0 -- 3 -- 1147.8883 -- 1.7590e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.7746e-01 -9.4570e-01 -9.9336e-01 5.0000e+00
0 -- 4 -- 1150.2375 -- 1.6955e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.6392e-01 -9.0660e-01 -9.8354e-01 5.0000e+00
0 -- 5 -- 1139.6440 -- 1.6009e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.4419e-01 -8.4761e-01 -9.6833e-01 5.0000e+00
0 -- 6 -- 1140.6266 -- 1.4820e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.2576e-01 -7.3930e-01 -9.3133e-01 5.0000e+00
0 -- 7 -- 1136.9172 -- 1.3787e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.3026e-01 -6.0298e-01 -9.0890e-01 5.0000e+00
0 -- 8 -- 1134.0386 -- 1.4048e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0190e+00 -3.8910e-01 -8.2459e-01 5.0000e+00
0 -- 9 -- 1111.4742 -- 1.7868e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.2719e+00 -9.0831e-02 -7.0985e-01 5.0000e+00
0 -- 10 -- 1099.6605 -- 3.1308e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.7522e+00 3.0887e-01 -8.2042e-01 5.0000e+00
0 -- 11 -- 1062.2654 -- 6.5423e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 2.0897e+00 8.8156e-01 -7.3744e-01 5.0000e+00
0 -- 12 -- 1006.6779 -- 1.4969e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 2.2880e+00 1.6633e+00 -9.5645e-02 5.0000e+00
0 -- 13 -- 957.0956 -- 3.3768e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 2.2559e+00 2.5363e+00 3.3542e-02 5.0000e+00
0 -- 14 -- 950.1241 -- 4.8662e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 1.4411e+00 2.8152e+00 1.3275e-01 5.0000e+00
0 -- 15 -- 929.3455 -- 4.7059e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 9.6705e-01 2.6351e+00 -2.0701e-01 5.0000e+00
0 -- 16 -- 895.8372 -- 3.6953e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 7.8525e-01 2.1745e+00 -5.4009e-02 5.0000e+00
0 -- 17 -- 864.5547 -- 2.6206e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 7.0916e-01 1.5621e+00 -2.7753e-01 5.0000e+00
0 -- 18 -- 857.5752 -- 1.8317e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 6.9898e-01 9.8090e-01 -4.4242e-01 5.0000e+00
0 -- 19 -- 844.6750 -- 1.4835e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 8.0989e-01 6.4824e-01 -6.3101e-01 5.0000e+00
0 -- 20 -- 839.6346 -- 1.4093e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 9.4999e-01 4.1891e-01 -6.5307e-01 5.0000e+00
0 -- 21 -- 822.7466 -- 1.5199e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0784e+00 2.6748e-01 -7.2417e-01 5.0000e+00
0 -- 22 -- 812.9740 -- 1.7668e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 1.1625e+00 1.4830e-01 -7.8360e-01 5.0000e+00
0 -- 23 -- 803.5590 -- 1.8134e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0263e+00 2.2003e-02 -8.1089e-01 5.0000e+00
0 -- 24 -- 800.1362 -- 1.5951e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 8.7965e-01 -7.9449e-02 -8.8540e-01 5.0000e+00
0 -- 25 -- 787.0884 -- 1.2669e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 7.9424e-01 -2.0749e-01 -9.0956e-01 5.0000e+00
0 -- 26 -- 784.9635 -- 1.0051e+00 -- 1.0000e+01  False False 0 10.0 10.0 1 7.9334e-01 -2.9872e-01 -9.2383e-01 5.0000e+00
0 -- 27 -- 780.2802 -- 8.9203e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 8.8752e-01 -3.5920e-01 -9.2502e-01 5.0000e+00
0 -- 28 -- 778.8082 -- 8.9739e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0060e+00 -3.6288e-01 -9.3521e-01 5.0000e+00
0 -- 29 -- 767.9905 -- 9.1332e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0178e+00 -2.5100e-01 -9.4187e-01 5.0000e+00
0 -- 30 -- 760.7328 -- 8.3696e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.1639e-01 -2.9743e-01 -9.4240e-01 5.0000e+00
0 -- 31 -- 762.1896 -- 6.6995e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 8.0046e-01 -2.8894e-01 -9.4931e-01 5.0000e+00
0 -- 32 -- 762.7501 -- 5.4653e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 8.1578e-01 -3.2013e-01 -9.5022e-01 5.0000e+00
1 -- 0 -- 759.8941 -- 5.2429e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.5930e-01 -2.7092e-01 -9.5966e-01 5.0000e+00
1 -- 1 -- 758.0364 -- 5.4659e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0425e+00 -1.9558e-01 -9.9495e-01 5.0000e+00
1 -- 2 -- 744.1205 -- 5.5722e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0195e+00 -1.2205e-01 -9.5308e-01 5.0000e+00
1 -- 3 -- 744.5483 -- 4.9396e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 8.8646e-01 -1.1808e-01 -9.4058e-01 5.0000e+00
1 -- 4 -- 741.9481 -- 4.3724e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 8.8519e-01 -7.4721e-02 -9.9419e-01 5.0000e+00
1 -- 5 -- 736.6155 -- 4.8600e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.1115e+00 6.4477e-02 -9.9198e-01 5.0000e+00
1 -- 6 -- 740.7567 -- 5.1747e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0648e+00 1.6169e-01 -1.0014e+00 5.0000e+00
1 -- 7 -- 726.5081 -- 4.6813e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.0465e-01 1.5344e-01 -1.0458e+00 5.0000e+00
1 -- 8 -- 735.6365 -- 3.9800e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 8.5019e-01 1.5522e-01 -1.0336e+00 5.0000e+00
1 -- 9 -- 732.0143 -- 4.3190e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0852e+00 1.9406e-01 -1.1037e+00 5.0000e+00
1 -- 10 -- 740.2219 -- 4.9886e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.1550e+00 2.7666e-01 -1.0747e+00 5.0000e+00
1 -- 11 -- 735.0038 -- 4.9654e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.9536e-01 3.3605e-01 -1.1032e+00 5.0000e+00
1 -- 12 -- 711.4359 -- 4.3248e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 8.7100e-01 2.3249e-01 -1.1128e+00 5.0000e+00
1 -- 13 -- 721.6907 -- 4.1010e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.4825e-01 2.6119e-01 -1.1740e+00 5.0000e+00
1 -- 14 -- 715.7020 -- 4.7046e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.1472e+00 2.9324e-01 -1.1721e+00 5.0000e+00
1 -- 15 -- 716.9745 -- 4.8738e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0360e+00 2.7443e-01 -1.2046e+00 5.0000e+00
1 -- 16 -- 704.1049 -- 4.8601e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.9720e-01 3.2954e-01 -1.2520e+00 5.0000e+00
1 -- 17 -- 695.4775 -- 5.2190e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0738e+00 4.1688e-01 -1.3153e+00 5.0000e+00
1 -- 18 -- 689.8079 -- 5.7681e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.1052e+00 3.2789e-01 -1.4605e+00 5.0000e+00
1 -- 19 -- 699.8046 -- 5.7666e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.9975e-01 2.6332e-01 -1.6465e+00 5.0000e+00
1 -- 20 -- 681.3876 -- 5.8930e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0219e+00 3.0959e-01 -1.8231e+00 5.0000e+00
1 -- 21 -- 679.7828 -- 6.3234e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0730e+00 4.8757e-01 -1.9529e+00 5.0000e+00
1 -- 22 -- 666.1821 -- 6.2523e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.8875e-01 5.2419e-01 -2.0253e+00 5.0000e+00
1 -- 23 -- 680.2655 -- 5.9148e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.4601e-01 4.2389e-01 -2.1593e+00 5.0000e+00
1 -- 24 -- 671.4167 -- 5.9895e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0126e+00 5.4900e-01 -2.2178e+00 5.0000e+00
1 -- 25 -- 656.7968 -- 6.3030e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0523e+00 7.2394e-01 -2.2379e+00 5.0000e+00
1 -- 26 -- 649.8188 -- 6.3163e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0021e+00 7.7337e-01 -2.2613e+00 5.0000e+00
1 -- 27 -- 632.3344 -- 6.0254e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.5395e-01 6.6398e-01 -2.2762e+00 5.0000e+00
1 -- 28 -- 662.4556 -- 5.7361e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.5199e-01 6.2477e-01 -2.2438e+00 5.0000e+00
1 -- 29 -- 673.7700 -- 5.4768e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.5479e-01 6.2360e-01 -2.2026e+00 5.0000e+00
1 -- 30 -- 638.4783 -- 5.0848e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.2843e-01 8.6193e-01 -2.1600e+00 5.0000e+00
1 -- 31 -- 638.7394 -- 4.7389e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.3197e-01 9.4938e-01 -2.0081e+00 5.0000e+00
1 -- 32 -- 666.9446 -- 4.5222e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.5427e-01 9.8202e-01 -1.9728e+00 5.0000e+00
2 -- 0 -- 650.3660 -- 4.2583e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.4164e-01 9.9573e-01 -1.9850e+00 5.0000e+00
2 -- 1 -- 630.4295 -- 3.9980e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.3889e-01 8.4831e-01 -1.9837e+00 5.0000e+00
2 -- 2 -- 623.0048 -- 3.9632e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.9128e-01 8.4668e-01 -1.9686e+00 5.0000e+00
2 -- 3 -- 617.8564 -- 3.8486e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.7109e-01 8.3200e-01 -1.9546e+00 5.0000e+00
2 -- 4 -- 613.9873 -- 3.8808e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0083e+00 8.7139e-01 -1.9231e+00 5.0000e+00
2 -- 5 -- 614.6484 -- 3.6667e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.4484e-01 9.1957e-01 -1.8728e+00 5.0000e+00
2 -- 6 -- 602.9634 -- 3.4855e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.5060e-01 9.2652e-01 -1.8363e+00 5.0000e+00
2 -- 7 -- 612.4290 -- 3.3625e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.6469e-01 9.5522e-01 -1.7380e+00 5.0000e+00
2 -- 8 -- 610.0711 -- 3.2235e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.5867e-01 8.7713e-01 -1.6892e+00 5.0000e+00
2 -- 9 -- 614.5424 -- 3.1574e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.7949e-01 8.5210e-01 -1.6892e+00 5.0000e+00
2 -- 10 -- 617.9570 -- 3.1966e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0124e+00 1.0205e+00 -1.7615e+00 5.0000e+00
2 -- 11 -- 621.4349 -- 3.2335e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0116e+00 1.0785e+00 -1.8276e+00 5.0000e+00
2 -- 12 -- 596.0406 -- 3.2285e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.9845e-01 1.0585e+00 -1.9114e+00 5.0000e+00
2 -- 13 -- 625.9296 -- 3.3893e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0498e+00 9.5701e-01 -2.0104e+00 5.0000e+00
2 -- 14 -- 635.0641 -- 3.3981e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0026e+00 9.5736e-01 -2.0456e+00 5.0000e+00
2 -- 15 -- 622.9378 -- 3.3383e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.8241e-01 9.0064e-01 -2.1140e+00 5.0000e+00
2 -- 16 -- 602.1827 -- 3.1595e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.4643e-01 1.0542e+00 -2.0914e+00 5.0000e+00
2 -- 17 -- 632.8582 -- 3.3069e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0466e+00 1.1674e+00 -2.0662e+00 5.0000e+00
2 -- 18 -- 669.7369 -- 3.5260e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0663e+00 1.1385e+00 -2.0776e+00 5.0000e+00
2 -- 19 -- 664.8751 -- 3.6542e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0363e+00 1.1364e+00 -2.1381e+00 5.0000e+00
2 -- 20 -- 634.8351 -- 3.6258e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.9224e-01 1.0489e+00 -2.1317e+00 5.0000e+00
2 -- 21 -- 601.7932 -- 3.5969e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.9202e-01 9.2323e-01 -2.1553e+00 5.0000e+00
2 -- 22 -- 634.2390 -- 3.5955e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.9962e-01 6.9107e-01 -2.1898e+00 5.0000e+00
2 -- 23 -- 688.1326 -- 3.5227e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.7974e-01 6.0637e-01 -2.1563e+00 5.0000e+00
2 -- 24 -- 692.1191 -- 3.4011e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.6550e-01 6.0380e-01 -2.1589e+00 5.0000e+00
2 -- 25 -- 650.7211 -- 3.1213e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.1771e-01 5.9752e-01 -2.0707e+00 5.0000e+00
2 -- 26 -- 612.3620 -- 2.9492e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.4488e-01 5.7328e-01 -2.0497e+00 5.0000e+00
2 -- 27 -- 600.0508 -- 3.0389e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0304e+00 6.9470e-01 -2.0555e+00 5.0000e+00
2 -- 28 -- 625.3109 -- 3.2126e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0572e+00 7.1607e-01 -2.1160e+00 5.0000e+00
2 -- 29 -- 629.5223 -- 3.4592e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0767e+00 9.4480e-01 -2.0677e+00 5.0000e+00
2 -- 30 -- 596.9578 -- 3.5972e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0399e+00 7.2516e-01 -2.1342e+00 5.0000e+00
2 -- 31 -- 602.0180 -- 3.8239e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0630e+00 6.0063e-01 -2.1506e+00 5.0000e+00
2 -- 32 -- 596.6003 -- 3.8399e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 1.0042e+00 5.6046e-01 -2.1326e+00 5.0000e+00
3 -- 0 -- 604.1237 -- 3.7746e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.8297e-01 5.9918e-01 -2.1671e+00 5.0000e+00
3 -- 1 -- 601.8131 -- 3.5971e-01 -- 1.0000e+01  False False 0 10.0 10.0 1 9.5298e-01 6.1669e-01 -2.0748e+00 5.0000e+00
