epoch -- step -- recon_loss -- kl_loss -- kl_weight  bounce_test1 bounce_test2 num_maxes max_factor min_factor window_len
0 -- 0 -- 1165.1384 -- 1.8396e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 1 -- 1148.7622 -- 1.8238e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 2 -- 1150.8489 -- 1.7995e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 3 -- 1147.8883 -- 1.7590e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 4 -- 1150.2375 -- 1.6955e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 5 -- 1139.6440 -- 1.6009e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 6 -- 1140.6266 -- 1.4820e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 7 -- 1136.9171 -- 1.3787e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 8 -- 1134.0386 -- 1.4049e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 9 -- 1111.4739 -- 1.7868e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 10 -- 1099.6602 -- 3.1309e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 11 -- 1062.2650 -- 6.5425e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 12 -- 1006.6774 -- 1.4969e+00 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 13 -- 957.0948 -- 3.3769e+00 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 14 -- 950.1239 -- 4.8662e+00 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 15 -- 929.3442 -- 4.7059e+00 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 16 -- 895.8346 -- 3.6953e+00 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 17 -- 864.5537 -- 2.6205e+00 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 18 -- 857.5757 -- 1.8317e+00 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 19 -- 844.6749 -- 1.4835e+00 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 20 -- 839.6343 -- 1.4093e+00 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 21 -- 822.7460 -- 1.5199e+00 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 22 -- 812.9735 -- 1.7669e+00 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 23 -- 803.5587 -- 1.8134e+00 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 24 -- 800.1350 -- 1.5951e+00 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 25 -- 787.0878 -- 1.2669e+00 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 26 -- 784.9636 -- 1.0051e+00 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 27 -- 780.2803 -- 8.9205e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 28 -- 778.8076 -- 8.9744e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 29 -- 767.9907 -- 9.1337e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 30 -- 760.7319 -- 8.3699e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 31 -- 762.1888 -- 6.6997e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
0 -- 32 -- 762.7487 -- 5.4654e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
1 -- 0 -- 759.8929 -- 5.2429e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
1 -- 1 -- 758.0359 -- 5.4658e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
1 -- 2 -- 744.1204 -- 5.5720e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
1 -- 3 -- 744.5481 -- 4.9393e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
1 -- 4 -- 741.9466 -- 4.3729e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
1 -- 5 -- 736.6160 -- 4.8608e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
1 -- 6 -- 740.7540 -- 5.1739e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
1 -- 7 -- 726.5080 -- 4.6799e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
1 -- 8 -- 735.6184 -- 3.9817e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
1 -- 9 -- 732.0012 -- 4.3231e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
1 -- 10 -- 740.1604 -- 4.9830e-01 -- 1.0000e+01  False False 0 10.0 10.0 1
