epoch -- step -- recon_loss -- kl_loss -- kl_weight  bounce_test1 bounce_test2 num_maxes max_factor min_factor window_len kl_jump_ratio max_log_var min_log_var max_grad_norm
0 -- 0 -- 1165.1384 -- 1.8396e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.8396e-01 -9.8571e-01 -1.0119e+00 5.0000e+00
0 -- 1 -- 1148.7710 -- 1.7999e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 9.7841e-01 -9.7068e-01 -1.0001e+00 5.0000e+00
0 -- 2 -- 1150.8479 -- 1.7281e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 9.6011e-01 -9.3310e-01 -9.8931e-01 5.0000e+00
0 -- 3 -- 1147.8199 -- 1.5901e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 9.2013e-01 -8.6226e-01 -9.6652e-01 5.0000e+00
0 -- 4 -- 1149.9935 -- 1.3714e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 8.6248e-01 -7.3282e-01 -9.3451e-01 5.0000e+00
0 -- 5 -- 1139.1069 -- 1.0504e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 7.6596e-01 -5.4897e-01 -8.8234e-01 5.0000e+00
0 -- 6 -- 1139.8416 -- 6.3908e-02 -- 1.0000e+02  False False 0 100.0 100.0 1 6.0840e-01 -2.3207e-01 -7.6542e-01 5.0000e+00
0 -- 7 -- 1136.0806 -- 2.5009e-02 -- 1.0000e+02  False False 0 100.0 100.0 1 3.9133e-01 1.4695e-01 -7.0808e-01 5.0000e+00
0 -- 8 -- 1133.4761 -- 3.3009e-02 -- 1.0000e+02  False False 0 100.0 100.0 1 1.3199e+00 7.1172e-01 -4.6073e-01 5.0000e+00
0 -- 9 -- 1113.4561 -- 1.3771e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 4.1717e+00 1.2165e+00 -2.1848e-01 5.0000e+00
0 -- 10 -- 1116.2151 -- 1.2927e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 9.3871e-01 1.0813e+00 -6.8011e-01 5.0000e+00
0 -- 11 -- 1105.1013 -- 9.4316e-02 -- 1.0000e+02  False False 0 100.0 100.0 1 7.2963e-01 8.1969e-01 -7.1661e-01 5.0000e+00
0 -- 12 -- 1085.7582 -- 9.1404e-02 -- 1.0000e+02  False False 0 100.0 100.0 1 9.6913e-01 5.7094e-01 -3.9907e-01 5.0000e+00
0 -- 13 -- 1061.8840 -- 1.2136e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.3278e+00 4.1839e-01 -5.1744e-01 5.0000e+00
0 -- 14 -- 1036.7948 -- 1.8434e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.5189e+00 4.0911e-01 -5.1706e-01 5.0000e+00
0 -- 15 -- 995.6938 -- 3.1038e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.6837e+00 5.3080e-01 -6.1902e-01 5.0000e+00
