epoch -- step -- recon_loss -- kl_loss -- kl_weight  bounce_test1 bounce_test2 num_maxes max_factor min_factor window_len kl_jump_ratio max_log_var min_log_var max_grad_norm
0 -- 0 -- 1165.1384 -- 1.8396e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.8396e-01 -9.8571e-01 -1.0119e+00 5.0000e+00
0 -- 1 -- 1148.7495 -- 1.8582e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.0101e+00 -9.9166e-01 -1.0193e+00 5.0000e+00
0 -- 2 -- 1150.8384 -- 1.8811e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.0123e+00 -9.9684e-01 -1.0310e+00 5.0000e+00
0 -- 3 -- 1147.9086 -- 1.9112e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.0160e+00 -1.0017e+00 -1.0448e+00 5.0000e+00
0 -- 4 -- 1150.3361 -- 1.9432e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.0167e+00 -1.0033e+00 -1.0611e+00 5.0000e+00
0 -- 5 -- 1139.9211 -- 1.9745e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.0161e+00 -1.0026e+00 -1.0734e+00 5.0000e+00
0 -- 6 -- 1141.2758 -- 2.0090e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.0175e+00 -9.9513e-01 -1.0823e+00 5.0000e+00
0 -- 7 -- 1138.3417 -- 2.0710e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.0309e+00 -9.6616e-01 -1.0708e+00 5.0000e+00
0 -- 8 -- 1136.9048 -- 2.2188e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.0713e+00 -8.9888e-01 -1.0379e+00 5.0000e+00
0 -- 9 -- 1116.1951 -- 2.5466e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.1477e+00 -7.8586e-01 -9.8885e-01 5.0000e+00
0 -- 10 -- 1108.2208 -- 3.3956e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.3334e+00 -6.1005e-01 -9.7254e-01 5.0000e+00
0 -- 11 -- 1074.9637 -- 5.2367e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.5422e+00 -3.3253e-01 -9.3766e-01 5.0000e+00
0 -- 12 -- 1022.3595 -- 9.2566e-01 -- 1.0000e+00  False False 0 1.0 1.0 1 1.7676e+00 6.9982e-02 -7.2319e-01 5.0000e+00
0 -- 13 -- 966.7419 -- 1.7897e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 1.9334e+00 6.1669e-01 -6.2141e-01 5.0000e+00
0 -- 14 -- 957.0632 -- 3.4820e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 1.9456e+00 1.3230e+00 -4.2773e-01 5.0000e+00
0 -- 15 -- 959.8556 -- 5.2854e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 1.5179e+00 2.0724e+00 -5.0054e-01 5.0000e+00
0 -- 16 -- 938.9644 -- 6.0423e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 1.1432e+00 2.2980e+00 -3.3389e-01 5.0000e+00
0 -- 17 -- 892.3958 -- 5.7465e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 9.5105e-01 2.1752e+00 -4.6284e-01 5.0000e+00
0 -- 18 -- 857.1577 -- 4.8274e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 8.4006e-01 1.7712e+00 -5.7277e-01 5.0000e+00
0 -- 19 -- 830.7821 -- 3.8634e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 8.0030e-01 1.4658e+00 -7.2667e-01 5.0000e+00
0 -- 20 -- 833.1286 -- 3.2994e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 8.5402e-01 1.2319e+00 -7.8714e-01 5.0000e+00
0 -- 21 -- 825.8629 -- 3.2134e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 9.7394e-01 1.1395e+00 -8.6722e-01 5.0000e+00
0 -- 22 -- 816.5825 -- 3.5826e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 1.1149e+00 1.1690e+00 -9.3065e-01 5.0000e+00
0 -- 23 -- 802.6874 -- 4.3444e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 1.2126e+00 1.4455e+00 -9.9177e-01 5.0000e+00
0 -- 24 -- 800.4506 -- 5.2574e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 1.2101e+00 1.8539e+00 -1.1391e+00 5.0000e+00
0 -- 25 -- 789.8611 -- 5.6435e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 1.0734e+00 2.1711e+00 -1.3350e+00 5.0000e+00
0 -- 26 -- 782.6155 -- 5.3997e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 9.5679e-01 2.3260e+00 -1.5158e+00 5.0000e+00
0 -- 27 -- 776.3374 -- 4.6144e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 8.5458e-01 2.0961e+00 -1.7001e+00 5.0000e+00
0 -- 28 -- 777.6567 -- 3.7462e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 8.1185e-01 1.8694e+00 -1.7859e+00 5.0000e+00
0 -- 29 -- 769.5831 -- 3.2504e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 8.6765e-01 2.1374e+00 -1.8935e+00 5.0000e+00
0 -- 30 -- 762.7281 -- 3.1432e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 9.6701e-01 2.0008e+00 -1.9355e+00 5.0000e+00
0 -- 31 -- 762.0339 -- 3.1918e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 1.0155e+00 2.3068e+00 -2.0752e+00 5.0000e+00
0 -- 32 -- 762.2878 -- 3.2625e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 1.0222e+00 2.3272e+00 -2.1406e+00 5.0000e+00
1 -- 0 -- 759.0801 -- 3.1073e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 9.5241e-01 2.3553e+00 -2.2569e+00 5.0000e+00
1 -- 1 -- 758.5436 -- 2.6065e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 8.3884e-01 2.0752e+00 -2.3528e+00 5.0000e+00
1 -- 2 -- 748.2003 -- 2.2453e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 8.6143e-01 1.7644e+00 -2.4496e+00 5.0000e+00
1 -- 3 -- 749.1415 -- 2.1100e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 9.3970e-01 1.5196e+00 -2.4994e+00 5.0000e+00
1 -- 4 -- 743.1066 -- 2.1898e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 1.0378e+00 1.4842e+00 -2.6232e+00 5.0000e+00
1 -- 5 -- 740.3671 -- 2.3169e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 1.0581e+00 1.4669e+00 -2.8045e+00 5.0000e+00
1 -- 6 -- 743.1080 -- 2.1896e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 9.4504e-01 1.4468e+00 -2.8790e+00 5.0000e+00
1 -- 7 -- 727.5617 -- 1.9017e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 8.6852e-01 1.2589e+00 -2.8202e+00 5.0000e+00
1 -- 8 -- 735.0526 -- 1.6488e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 8.6699e-01 1.2237e+00 -2.7930e+00 5.0000e+00
1 -- 9 -- 732.9894 -- 1.6074e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 9.7493e-01 1.2299e+00 -2.8844e+00 5.0000e+00
1 -- 10 -- 738.8662 -- 1.7164e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 1.0678e+00 1.3352e+00 -3.0578e+00 5.0000e+00
1 -- 11 -- 736.8101 -- 1.6854e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 9.8196e-01 1.4044e+00 -3.1850e+00 5.0000e+00
1 -- 12 -- 716.0099 -- 1.5174e+00 -- 1.0000e+00  False False 0 1.0 1.0 1 9.0033e-01 1.2307e+00 -3.1607e+00 5.0000e+00
