epoch -- step -- recon_loss -- kl_loss -- kl_weight  bounce_test1 bounce_test2 num_maxes max_factor min_factor window_len
0 -- 0 -- 1165.1384 -- 1.8396e-01 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 1 -- 1148.7495 -- 1.8582e-01 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 2 -- 1150.8385 -- 1.8811e-01 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 3 -- 1147.9086 -- 1.9112e-01 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 4 -- 1150.3358 -- 1.9432e-01 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 5 -- 1139.9211 -- 1.9745e-01 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 6 -- 1141.2758 -- 2.0090e-01 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 7 -- 1138.3417 -- 2.0710e-01 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 8 -- 1136.9048 -- 2.2188e-01 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 9 -- 1116.1951 -- 2.5466e-01 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 10 -- 1108.2214 -- 3.3956e-01 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 11 -- 1074.9640 -- 5.2367e-01 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 12 -- 1022.3602 -- 9.2565e-01 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 13 -- 966.7424 -- 1.7896e+00 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 14 -- 957.0657 -- 3.4819e+00 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 15 -- 959.8585 -- 5.2853e+00 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 16 -- 938.9679 -- 6.0422e+00 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 17 -- 892.3971 -- 5.7465e+00 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 18 -- 857.1589 -- 4.8274e+00 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 19 -- 830.7827 -- 3.8634e+00 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 20 -- 833.1290 -- 3.2994e+00 -- 1.0000e+00  False False 0 1.0 1.0 1
0 -- 21 -- 825.8634 -- 3.2134e+00 -- 1.0000e+00  False False 0 1.0 1.0 1
