epoch -- step -- recon_loss -- kl_loss -- kl_weight  bounce_test1 bounce_test2 num_maxes max_factor min_factor window_len
0 -- 0 -- 1165.1384 -- 1.8396e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 1 -- 1148.7770 -- 1.7921e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 2 -- 1150.8778 -- 1.6884e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 3 -- 1147.9277 -- 1.4918e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 4 -- 1150.2300 -- 1.1894e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 5 -- 1139.4923 -- 7.7290e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 6 -- 1140.2798 -- 3.1054e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 7 -- 1136.3779 -- 7.6122e-03 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 8 -- 1134.5930 -- 6.4195e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 9 -- 1119.0886 -- 1.0991e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 10 -- 1125.5593 -- 1.0736e-01 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 11 -- 1120.6409 -- 5.9924e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 12 -- 1112.2887 -- 2.0170e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 13 -- 1107.2471 -- 6.2036e-03 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 14 -- 1110.1226 -- 1.1740e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 15 -- 1109.4069 -- 1.9956e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 16 -- 1096.2690 -- 2.4157e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 17 -- 1083.4122 -- 2.3585e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 18 -- 1076.1179 -- 1.9990e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 19 -- 1055.5847 -- 1.6121e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 20 -- 1043.8627 -- 1.8535e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 21 -- 1018.1698 -- 2.9236e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 22 -- 1001.5417 -- 3.9916e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 23 -- 981.9644 -- 4.2879e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 24 -- 968.0092 -- 3.9458e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 25 -- 943.1047 -- 3.3105e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 26 -- 929.9501 -- 2.8274e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 27 -- 913.1829 -- 3.2034e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 28 -- 906.3103 -- 3.2657e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 29 -- 881.8222 -- 3.6444e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 30 -- 865.9600 -- 3.7152e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 31 -- 865.2922 -- 2.8387e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
0 -- 32 -- 858.0226 -- 2.6107e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 0 -- 849.7337 -- 2.4748e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 1 -- 847.7957 -- 2.2311e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 2 -- 831.9620 -- 2.7088e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 3 -- 834.1339 -- 2.0547e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 4 -- 820.4244 -- 2.6536e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 5 -- 821.3041 -- 2.2680e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 6 -- 826.9887 -- 2.0808e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 7 -- 804.7452 -- 2.1911e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 8 -- 810.5157 -- 2.1825e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 9 -- 808.5056 -- 1.7082e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 10 -- 807.2320 -- 1.9329e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 11 -- 798.4103 -- 2.0223e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 12 -- 776.2915 -- 1.5439e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 13 -- 775.5507 -- 1.6059e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 14 -- 757.3976 -- 1.9066e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 15 -- 747.6637 -- 2.1579e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 16 -- 730.3752 -- 1.8744e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 17 -- 716.8193 -- 2.0185e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 18 -- 702.5211 -- 2.7740e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 19 -- 713.1633 -- 3.4183e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 20 -- 703.1912 -- 3.2443e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 21 -- 699.8556 -- 3.7265e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 22 -- 700.5597 -- 4.8427e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 23 -- 703.6036 -- 4.9730e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 24 -- 706.9092 -- 4.3753e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 25 -- 692.3807 -- 4.3251e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 26 -- 667.9875 -- 4.0754e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 27 -- 672.2039 -- 3.9509e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 28 -- 672.6611 -- 3.4080e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 29 -- 673.8306 -- 3.2030e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 30 -- 665.7043 -- 3.2392e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
1 -- 31 -- 671.6449 -- 2.9230e-02 -- 1.0000e+03  False False 0 1000.0 1000.0 1
