epoch -- step -- recon_loss -- kl_loss -- kl_weight  bounce_test1 bounce_test2 num_maxes max_factor min_factor window_len kl_jump_ratio max_log_var min_log_var max_grad_norm
0 -- 0 -- 1166.1938 -- 1.8389e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.8389e-01 -9.8929e-01 -1.0103e+00 5.0000e+00
0 -- 1 -- 1114.1681 -- 1.4640e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 7.9608e-01 -8.0330e-01 -9.3494e-01 5.0000e+00
0 -- 2 -- 1027.0895 -- 2.5477e+00 -- 1.0000e+02  False False 0 100.0 100.0 1 1.7403e+01 2.9534e+00 3.6569e-01 5.0000e+00
0 -- 3 -- 1072.8038 -- 1.4473e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 5.6807e-02 -7.8409e-01 -9.2800e-01 5.0000e+00
0 -- 4 -- 994.8876 -- 1.5264e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.0547e+00 -8.2252e-01 -9.3999e-01 5.0000e+00
0 -- 5 -- 843.2456 -- 1.5526e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.0172e+00 -5.3095e-01 -8.5030e-01 5.0000e+00
0 -- 6 -- 1316.9448 -- 7.1595e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 4.6112e+00 4.7675e-01 -5.3188e-01 5.0000e+00
0 -- 7 -- 1127.5869 -- 9.2879e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.2973e+00 9.0289e-01 -4.1790e-01 5.0000e+00
0 -- 8 -- 924.1801 -- 2.1647e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 2.3307e-01 1.2586e-01 -7.0572e-01 5.0000e+00
0 -- 9 -- 1680.3352 -- 2.6763e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.2363e+00 -8.4695e-01 -1.3377e+00 5.0000e+00
0 -- 10 -- 940.3754 -- 1.6826e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 6.2869e-01 -8.1229e-01 -1.0136e+00 5.0000e+00
0 -- 11 -- 907.4002 -- 3.2812e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.9501e+00 3.7841e-01 -6.7709e-01 5.0000e+00
0 -- 12 -- 885.8864 -- 2.8628e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 8.7247e-01 7.3769e-01 -3.8478e-01 5.0000e+00
0 -- 13 -- 854.9358 -- 6.8887e-02 -- 1.0000e+02  False False 0 100.0 100.0 1 2.4063e-01 -2.1064e-02 -5.3909e-01 5.0000e+00
0 -- 14 -- 817.1294 -- 7.5093e-02 -- 1.0000e+02  False False 0 100.0 100.0 1 1.0901e+00 8.9961e-02 -5.4229e-01 5.0000e+00
0 -- 15 -- 819.5782 -- 1.1531e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.5355e+00 4.4555e-01 -3.6205e-01 5.0000e+00
0 -- 16 -- 815.5746 -- 6.5658e-02 -- 1.0000e+02  False False 0 100.0 100.0 1 5.6941e-01 2.3345e-01 -4.4108e-01 5.0000e+00
0 -- 17 -- 836.0499 -- 5.2213e-02 -- 1.0000e+02  False False 0 100.0 100.0 1 7.9523e-01 -1.9487e-02 -6.5427e-01 5.0000e+00
0 -- 18 -- 824.3276 -- 4.9840e-02 -- 1.0000e+02  False False 0 100.0 100.0 1 9.5456e-01 1.6921e-01 -5.9782e-01 5.0000e+00
0 -- 19 -- 790.6357 -- 6.1671e-02 -- 1.0000e+02  False False 0 100.0 100.0 1 1.2374e+00 4.7257e-01 -4.4892e-01 5.0000e+00
0 -- 20 -- 783.4623 -- 4.1080e-02 -- 1.0000e+02  False False 0 100.0 100.0 1 6.6612e-01 1.5464e-01 -4.2580e-01 5.0000e+00
0 -- 21 -- 796.5668 -- 4.2846e-02 -- 1.0000e+02  False False 0 100.0 100.0 1 1.0430e+00 -5.3380e-02 -7.0694e-01 5.0000e+00
0 -- 22 -- 760.9413 -- 3.9172e-02 -- 1.0000e+02  False False 0 100.0 100.0 1 9.1425e-01 1.2535e-01 -5.6695e-01 5.0000e+00
0 -- 23 -- 749.6164 -- 5.9044e-02 -- 1.0000e+02  False False 0 100.0 100.0 1 1.5073e+00 5.1329e-01 -4.2367e-01 5.0000e+00
0 -- 24 -- 722.7906 -- 7.3977e-02 -- 1.0000e+02  False False 0 100.0 100.0 1 1.2529e+00 5.7690e-01 -5.1681e-01 5.0000e+00
0 -- 25 -- 672.9962 -- 6.5449e-02 -- 1.0000e+02  False False 0 100.0 100.0 1 8.8472e-01 4.5534e-01 -6.1614e-01 5.0000e+00
0 -- 26 -- 898.2906 -- 1.2526e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.9138e+00 6.1180e-01 -7.3833e-01 5.0000e+00
0 -- 27 -- 1039.0052 -- 2.0220e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.6143e+00 6.1188e-01 -7.5762e-01 5.0000e+00
0 -- 28 -- 826.9694 -- 1.4784e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 7.3114e-01 5.5432e-01 -9.3067e-01 5.0000e+00
0 -- 29 -- 795.1099 -- 1.3088e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 8.8526e-01 4.6481e-01 -1.1142e+00 5.0000e+00
0 -- 30 -- 719.1530 -- 1.3706e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.0472e+00 3.3001e-01 -1.1752e+00 5.0000e+00
0 -- 31 -- 776.5282 -- 1.5433e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.1260e+00 6.7360e-01 -1.1285e+00 5.0000e+00
0 -- 32 -- 769.8834 -- 1.7006e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.1019e+00 6.0729e-01 -1.1146e+00 5.0000e+00
1 -- 0 -- 693.4106 -- 1.9354e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.1381e+00 4.4190e-01 -1.1315e+00 5.0000e+00
1 -- 1 -- 909.5186 -- 2.9323e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.5151e+00 4.0528e-01 -1.2015e+00 5.0000e+00
1 -- 2 -- 1199.3291 -- 3.2135e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 1.0959e+00 3.6537e-01 -1.2003e+00 5.0000e+00
1 -- 3 -- 1016.8867 -- 2.4205e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 7.5322e-01 3.1021e-01 -1.0783e+00 5.0000e+00
1 -- 4 -- 682.9138 -- 1.4876e-01 -- 1.0000e+02  False False 0 100.0 100.0 1 6.1458e-01 7.0484e-01 -9.3658e-01 5.0000e+00
